Run!	Fugi!
Who?	Cine?
Fire!	Foc!
Help!	Ajutor!
Jump!	Sări!
Stop!	Oprește-te!
Wait!	Așteaptă!
Hello!	Salut.
Hurry!	Haide!
Hurry!	Grăbește-te!
Relax.	Calmează-te.
Smile.	Zâmbește.
Attack!	Atacă!
Attack!	Atacați!
Cheers!	Noroc!
Cheers!	Noroc bun!
Freeze!	Stai pe loc!
Get up.	Ridică-te.
Ask Tom.	Întreabă-l pe Tom.
Awesome!	Excelent!
Call me.	Sună-mă.
Get out!	Pleacă de aici!
Get out.	Pleacă de aici!
Go away!	Pleacă!
Go away.	Lasă-mă.
Hold on.	Rezistă.
I agree.	Sunt de acord.
I'm ill.	Sunt bolnav.
It's OK.	E OK.
Open up.	Deschide!
Tell me.	Spune-mi.
Why not?	De ce nu?
Grab him.	Apucă-te de el.
How cute!	Ce drăguț!
How cute!	Ce simpatic!
Hurry up.	Grăbeşte-te!
I'll pay.	Eu voi plăti.
I'm free.	Eu sunt liber.
I'm home.	Sunt acasă.
I'm numb.	Sunt indiferent.
I'm numb.	Sunt indiferentă.
I'm sick.	Sunt bolnav.
It hurts.	Mă doare.
It's Tom.	Este Tom.
Marry me.	Căsătorește-te cu mine.
May I go?	Pot să merg?
May I go?	Pot să mă duc?
Terrific!	Teribil!
Too late.	Prea târziu.
Trust me.	Ai încredere în mine.
Who fell?	Cine a căzut?
Bless you.	Noroc!
Bless you.	Noroc bun!
Calm down.	Calmează-te.
Come home.	Vino acasă.
He is ill.	El este bolnav.
I am sick.	Sunt bolnav.
I beg you.	Vă rog.
I can ski.	Pot să schiez.
I can win.	Eu pot câștiga.
I hope so.	Sper.
I will go.	Eu voi merge.
I'll lose.	Voi pierde.
I'm bored.	Sunt plictisit.
I'm bored.	M-am plictisit.
I'm drunk.	Sunt beat.
I'm sorry.	Îmi pare rău!
I'm tired.	Sunt obosit.
Is it bad?	E rău?
It's cold.	E frig.
It's easy.	E uşor.
It's easy.	Este ușor.
She cried.	Ea a plâns.
Take care!	Ai grijă de tine.
Take care.	Ai grijă de tine.
They fell.	Ei au căzut.
Tom cried.	Tom a plâns.
Tom is OK.	Tom este bine.
Tom's shy.	Tom e timid.
We waited.	Noi am așteptat.
Choose one.	Alege una.
Definitely!	Cu siguranță!
Definitely!	În mod cert!
Did we win?	Am câștigat?
He is kind.	El este bun.
He is sick.	El este bolnav.
He's happy.	El este fericit.
I am bored.	Sunt plictisit.
I am bored.	M-am plictisit.
I doubt it.	Mă îndoiesc.
I doubt it.	Am dubii.
I know him.	Îl cunosc.
I know now.	Știu acum.
I love you.	Te iubesc.
I miss you.	Mi-e dor de tine.
I'm sleepy!	Mi-e somn!
I'm sleepy!	Îmi este somn!
I'm sleepy.	Mi-e somn.
I'm sleepy.	Îmi este somn!
I'm so fat.	Sunt așa de gras.
It is cold.	E frig.
May I swim?	Pot să înot?
She's busy.	Ea este ocupată.
Tom looked.	Tom privea.
Tom's well.	Tom este bine.
We're even.	Suntem chit.
Who's next?	Cine e următorul?
Who's sick?	Cine este bolnav?
You're old.	Ești în vârstă. (Ești bătrân)
Be watchful.	Fii atent!
Be watchful.	Fii vigilent!
Don't panic!	Nu te panica!
He is happy.	El este fericit.
He is tired.	El este obosit.
How are you?	Ce mai faci?
I adore you.	Te ador.
I am taller.	Eu sunt mai înalt.
I can't eat.	Nu pot să mănânc.
I can't fly.	Nu pot zbura.
I eat bread.	Mănânc pâine.
I felt cold.	Îmi este frig.
I felt cold.	Mi-a fost frig.
I had to go.	Trebuia să plec.
I heard you.	Te-am auzit.
I like jazz.	Îmi place jazzul.
I love golf.	Iubesc golful.
I love rock.	Îmi place rockul.
I must hide.	Trebuie să mă ascund.
I need help.	Am nevoie de ajutor!
I need help.	Am nevoie de ajutor.
I want mine.	Îl vreau pe al meu.
I was right.	Am avut dreptate.
I was tired.	Am fost obosit.
I will come.	Eu voi veni.
I will wait.	Eu voi aștepta.
I will work.	Eu voi lucra.
I won't die.	Nu voi muri.
I'm a nurse.	Sunt asistentă medicală.
I'm at home.	Sunt acasă.
I'm nervous.	Sunt agitat.
I'm starved.	Mi-e foame.
I'm starved.	Mi-e o foame de urs.
I'm thirsty.	Mi-e sete.
I'm too fat.	Sunt prea gras.
Is Tom cool?	Este Tom grozav?
Is it white?	Alb?
It can't be!	Nu se poate!
Let me help.	Să v-ajut.
Let's do it.	Hai să o facem.
Nobody came.	Nimeni nu a venit.
Please come.	Te rog, vino.
She bit him.	Ea l-a mușcat.
She's crazy.	Este nebună.
She's happy.	Ea este fericită.
Tom blushed.	Tom a roșit.
Tom blushed.	Tom s-a înroșit.
Tom is numb.	Tom este indiferent.
Tom is well.	Tom este bine.
Tom'll wait.	Tom va aștepta.
We are even.	Suntem chit.
We ate eggs.	Am mâncat ouă.
We know him.	Noi îl cunoaştem.
We promised.	Am promis.
We're going.	Plecăm.
What a pity!	Ce păcat!
Who is next?	Cine e următorul?
You're mine.	Ești a mea.
You're mine.	Ești al meu.
You're sick!	Ești bolnav!
You're sick!	Sunteți bolnavi!
Anybody home?	E cineva acasă?
Are you busy?	Eşti ocupat?
Are you sure?	Ești sigur?
Come with me.	Vino cu mine.
Don't let go.	Nu o lăsa.
Drive slowly.	Condu încet.
Go to school.	Mergi la școală.
Good evening.	Bună seara!
Grab my hand.	Ține-mă de mână.
He has money.	E în bani.
He has money.	Are bani.
He let us go.	El ne-a lăsat să mergem.
He likes tea.	Lui îi place ceaiul.
He was brave.	El a fost curajos.
I am at home.	Sunt acasă.
I am curious.	Sunt curios.
I am so sick.	Sunt atât de bolnav.
I am so sick.	Sunt tare bolnav.
I am thirsty.	Mi-e sete.
I ate caviar.	Am mâncat caviar.
I don't know.	Nu știu!
I drank milk.	Am băut lapte.
I drink milk.	Beau lapte.
I have a cat.	Am o pisică.
I like candy.	Îmi plac bomboanele.
I walk a lot.	Eu merg mult.
I won't lose!	Nu voi pierde.
I work a lot.	Muncesc mult.
I'm a doctor.	Sunt medic.
