ID;Category;Condition;Title;Availability;Color;Price;
inr345ch;Apparel & Accessories > Clothing ;new;Shirt;pre-order;green;69.99;
sho456bg;Media > DVDs & Movies;used;Animation;out of stock;white;69.99;
misc456ww;Media > Music;used;Jazz;in stock;orange;130.99;
mns889bg;Home > Electronics;refurbished;TV;in stock;violet;89.99;
acc555in;Media > Music;refurbished;Hip Hop;out of stock;red;89.99;
itm888in;Media > DVDs & Movies;refurbished;Documentary;pre-order;black;39.99;
inr888ch;Media > DVDs & Movies;new;Science Fiction;out of stock;violet;130.99;
clo444rs;Apparel & Accessories > Shoes;used;Sneakers;in stock;white;89.99;
bks567pt;Home > Appliances;refurbished;Rice cooker;in stock;white;35.99;
kid567pt;Home > Electronics;new;Microwave;in stock;violet;9.99;
bks456in;Media > DVDs & Movies;used;Science Fiction;in stock;white;130.99;
xyz889us;Apparel & Accessories > Clothing ;new;Shirt;in stock;violet;25.99;
misc124co;Home > Electronics;used;Microwave;pre-order;white;129.99;
mgz234in;Apparel & Accessories > Clothing ;used;Jacket;out of stock;violet;19.99;
sho567pt;Media > Music;used;Rock;in stock;white;69.99;
mns333sm;Home > Appliances;new;Frying Pans;in stock;blue;105.99;
dvd333bg;Miscellaneous;refurbished;Tablet;in stock;black;39.99;
mvs777rs;Media > DVDs & Movies;new;Animation;pre-order;red;129.99;
wmn333ch;Home > Appliances;refurbished;Ice maker;out of stock;blue;39.99;
mns234uk;Media > DVDs & Movies;used;Action;out of stock;orange;59.99;
cdh101bg;Apparel & Accessories > Clothing ;refurbished;Jacket;out of stock;blue;59.99;
inr999ww;Apparel & Accessories > Clothing ;new;Dress;in stock;blue;25.99;
elc777pt;Miscellaneous;used;Chair;in stock;blue;89.99;
clo342ch;Media > Music;refurbished;Jazz;pre-order;green;129.99;
mns777sm;Miscellaneous;new;Tablet;in stock;yellow;101.99;
sho111us;Media > DVDs & Movies;new;Comedy;in stock;magenta;39.99;
jpu666ww;Home > Electronics;new;Streaming Device;out of stock;blue;19.99;
klm999in;Home > Electronics;refurbished;Remote;in stock;orange;130.99;
mgz678co;Media > Music;used;Jazz;out of stock;red;89.99;
mns666pt;Media > Music;new;Country;out of stock;black;130.99;
mvs123pt;Apparel & Accessories > Clothing ;used;T-Shirt;in stock;blue;79.99;
klm888us;Home > Appliances;new;Coffee maker;pre-order;green;35.99;
abc222rs;Media > DVDs & Movies;new;Science Fiction;pre-order;magenta;101.99;
jpu444us;Apparel & Accessories > Shoes;new;Sneakers;out of stock;orange;24.99;
dvd789co;Media > Music;new;Hip Hop;out of stock;orange;59.99;
bks333ch;Home > Electronics;new;Remote;in stock;white;99.99;
mvs123uk;Apparel & Accessories > Shoes;new;Boots;out of stock;blue;19.99;
xyz101pt;Media > Music;used;Rock;in stock;green;35.99;
xyz888ww;Apparel & Accessories > Clothing ;refurbished;T-Shirt;out of stock;blue;39.99;
abc567in;Apparel & Accessories > Shoes;new;Running;pre-order;white;79.99;
med101ww;Apparel & Accessories > Clothing ;new;Jeans;in stock;violet;24.99;
