Account No,Date,cost
1111111,2015-07-01,86.86
1111112,2014-10-18,60.18
1111113,2014-11-11,65.29
1111114,2016-04-06,51.52
1111115,2015-12-20,71.98
1111116,2014-06-07,74.27
1111117,2012-06-16,84.33
1111118,2011-08-07,77.1
1111119,2014-05-12,53.55
1111120,2015-11-02,76.92
1111121,2012-05-13,53.03
1111122,2011-01-15,89.46
1111123,2016-05-26,96.65
1111124,2014-08-22,53.25
1111125,2011-10-30,55.9
1111126,2016-02-25,80.99
1111127,2013-10-11,88.54
1111128,2015-11-12,69.14
1111129,2013-08-04,61.92
1111130,2015-12-12,67.54
1111131,2014-11-21,55.19
1111132,2015-05-11,97.9
1111133,2012-07-15,54.84
1111134,2013-06-18,63.23
1111135,2011-02-23,51.42
1111136,2016-10-22,96.24
1111137,2011-09-06,87.28
1111138,2013-11-10,84.25
1111139,2011-05-16,77.08
1111140,2015-08-18,75.64
1111141,2016-05-30,63.7
1111142,2016-10-15,51.76
1111143,2015-05-13,72.55
1111144,2016-11-09,56.75
1111145,2013-01-26,99.2
1111146,2011-08-21,54.18
1111147,2016-05-16,67.05
1111148,2012-08-16,74.27
1111149,2013-08-09,75.21
1111150,2015-01-05,60.09
1111151,2016-08-04,90.31
1111152,2012-03-12,52.17
1111153,2014-12-01,89.85
1111154,2016-02-25,77.49
1111155,2011-02-12,84.56
1111156,2015-07-30,72.51
1111157,2011-12-13,50.84
1111158,2013-08-15,61.99
1111159,2013-06-29,99.21
1111160,2012-05-26,64.78
1111161,2015-03-27,91.61
1111162,2012-10-31,60.99
1111163,2012-02-11,72.17
1111164,2011-02-27,90.85
1111165,2011-05-29,69.15
1111166,2012-01-11,85.15
1111167,2015-08-15,60.41
1111168,2011-05-07,90.92
1111169,2015-02-25,92.91
1111170,2011-12-11,81.35
1111171,2014-12-18,91.11
1111172,2015-01-06,90.85
1111173,2013-09-05,59.38
1111174,2011-01-23,50.0
1111175,2015-11-12,82.63
1111176,2014-05-09,98.7
1111177,2014-02-12,81.11
1111178,2015-10-27,88.55
1111179,2014-10-16,80.62
1111180,2012-06-10,70.77
1111181,2011-05-11,64.62
1111182,2014-08-01,93.89
1111183,2011-08-05,98.79
1111184,2010-12-08,98.72
1111185,2016-09-03,52.58
1111186,2016-11-03,81.56
1111187,2013-03-03,69.2
1111188,2013-06-22,92.45
1111189,2013-01-05,95.69
1111190,2013-03-09,69.66
1111191,2014-09-30,81.63
1111192,2014-09-29,75.1
1111193,2014-02-06,99.31
1111194,2011-01-26,71.62
1111195,2016-05-20,90.62
1111196,2013-04-02,70.51
1111197,2014-04-11,66.85
1111198,2013-11-03,73.1
1111199,2015-01-16,81.04
1111200,2012-01-12,63.69
1111201,2016-04-30,77.4
1111202,2016-03-15,58.54
1111203,2011-11-23,69.29
1111204,2012-03-16,88.29
1111205,2015-09-30,55.33
1111206,2011-04-28,63.16
1111207,2013-12-19,68.24
1111208,2012-05-21,55.57
1111209,2012-07-31,89.72
1111210,2014-04-25,57.52
1111211,2015-11-09,63.76
1111212,2012-06-27,67.12
1111213,2015-05-23,92.91
1111214,2014-02-22,82.69
1111215,2013-12-14,99.25
1111216,2013-05-30,64.35
1111217,2014-11-16,96.92
1111218,2014-07-27,80.78
1111219,2014-10-17,54.18
1111220,2010-12-24,50.47
1111221,2012-12-13,55.69
1111222,2014-07-29,91.29
1111223,2013-01-13,99.9
1111224,2012-06-06,78.01
1111225,2013-01-19,54.38
1111226,2012-05-02,92.84
1111227,2012-11-22,50.76
1111228,2016-05-26,58.32
1111229,2012-08-23,63.17
1111230,2016-01-17,97.47
1111231,2016-04-23,57.29
1111232,2011-07-04,83.82
1111233,2012-03-09,80.48
1111234,2011-12-15,68.76
1111235,2014-04-28,65.17
1111236,2013-05-22,81.16
1111237,2012-04-01,58.97
1111238,2015-09-06,97.47
1111239,2016-02-12,57.15
1111240,2015-09-16,93.46
1111241,2012-06-02,88.88
1111242,2015-07-17,95.07
1111243,2016-10-28,71.24
1111244,2011-06-19,65.92
1111245,2014-11-22,72.95
1111246,2015-03-28,72.62
1111247,2012-07-27,69.83
1111248,2014-03-19,86.4
1111249,2013-06-05,87.94
1111250,2015-08-15,83.93
1111251,2015-03-05,93.97
1111252,2010-12-09,58.04
1111253,2015-07-04,60.17
1111254,2011-02-24,86.39
1111255,2013-12-14,51.28
1111256,2012-10-31,67.42
1111257,2015-04-30,77.71
1111258,2011-05-09,95.01
1111259,2011-09-17,63.62
1111260,2012-11-17,97.33
1111261,2011-10-12,64.33
1111262,2013-05-27,77.07
1111263,2013-08-18,88.08
1111264,2014-11-24,57.84
1111265,2014-04-10,78.06
1111266,2015-02-23,94.22
