PID,Size,Color
176646,Small,Khaki
376816,Large,Crimson
134917,Small,Blue
838424,Large,Green
219371,Small,Pink
252934,Medium,Blue
481401,Medium,Yellow
318482,Medium,Red
339442,Small,Violet
752622,Large,Blue
654760,Medium,Mauv
721798,Small,Blue
223695,Large,Puce
683373,Small,Teal
405179,Medium,Violet
382059,Large,Aquamarine
785840,Large,Teal
939661,Small,Turquoise
800436,Small,Crimson
834715,Large,Yellow
157169,Medium,Mauv
131915,Small,Red
186046,Medium,Orange
620621,Small,Crimson
159840,Small,Pink
338991,Large,Khaki
653430,Large,Crimson
214824,Medium,Aquamarine
762024,Medium,Turquoise
395058,Large,Crimson
562690,Large,Violet
894928,Small,Fuscia
175794,Medium,Purple
484315,Medium,Khaki
903330,Medium,Red
337502,Small,Aquamarine
627220,Medium,Turquoise
162744,Large,Pink
761766,Medium,Fuscia
795919,Small,Fuscia
167792,Medium,Indigo
244909,Small,Violet
457289,Medium,Puce
654482,Large,Teal
226085,Small,Khaki
885695,Medium,Goldenrod
351885,Small,Yellow
285566,Small,Mauv
569603,Medium,Goldenrod
599169,Large,Violet
287724,Small,Purple
244739,Small,Turquoise
617019,Medium,Green
678782,Large,Maroon
232044,Large,Maroon
272246,Medium,Khaki
162787,Medium,Khaki
499859,Small,Pink
217713,Large,Indigo
175854,Large,Purple
835209,Small,Maroon
404224,Medium,Green
360255,Large,Aquamarine
857621,Small,Fuscia
299161,Medium,Teal
862439,Medium,Khaki
909835,Small,Turquoise
321309,Medium,Yellow
901063,Small,Red
364536,Medium,Orange
253615,Medium,Goldenrod
592730,Medium,Maroon
201808,Small,Fuscia
502165,Medium,Mauv
372949,Large,Aquamarine
810591,Large,Turquoise
424894,Large,Crimson
274518,Small,Orange
319777,Small,Mauv
502276,Small,Turquoise
718545,Small,Purple
510608,Medium,Fuscia
360195,Small,Teal
953320,Medium,Orange
573815,Large,Goldenrod
435435,Small,Yellow
821221,Large,Aquamarine
875772,Medium,Violet
123753,Medium,Khaki
245500,Medium,Teal
611277,Small,Crimson
520543,Medium,Mauv
729030,Medium,Turquoise
221317,Small,Red
986960,Small,Violet
522812,Large,Crimson
254491,Small,Mauv
752817,Small,Puce
963818,Small,Crimson
953444,Small,Yellow
971856,Small,Violet
247412,Small,Blue
184893,Large,Mauv
192386,Small,Goldenrod
738856,Large,Goldenrod
677952,Large,Orange
972289,Small,Crimson
495367,Large,Blue
420643,Medium,Red
872472,Large,Aquamarine
511780,Small,Goldenrod
683967,Large,Aquamarine
881297,Large,Crimson
727715,Medium,Violet
690313,Small,Mauv
655709,Medium,Yellow
292891,Large,Aquamarine
141403,Large,Puce
472086,Medium,Orange
253601,Medium,Goldenrod
811036,Medium,Blue
365775,Medium,Blue
215013,Small,Red
812077,Medium,Puce
473195,Medium,Khaki
221651,Small,Turquoise
530315,Small,Orange
426779,Medium,Purple
243538,Small,Yellow
855344,Small,Fuscia
792035,Large,Teal
934648,Medium,Crimson
632317,Large,Blue
645856,Large,Blue
629996,Small,Fuscia
441617,Large,Maroon
688084,Medium,Purple
289351,Large,Indigo
420298,Medium,Indigo
583734,Large,Indigo
656879,Large,Aquamarine
129610,Medium,Purple
371945,Small,Goldenrod
785092,Small,Puce
652040,Large,Pink
656242,Medium,Goldenrod
778542,Medium,Crimson
501732,Large,Turquoise
610178,Medium,Turquoise
695939,Medium,Goldenrod
349463,Small,Green
538854,Large,Orange
911410,Small,Turquoise
430445,Medium,Purple
196367,Small,Violet
789583,Small,Pink
511855,Large,Maroon
919652,Medium,Indigo
651712,Medium,Teal
851010,Small,Puce
156797,Small,Violet
890771,Small,Green
437813,Large,Fuscia
602683,Medium,Teal
258733,Medium,Fuscia
368930,Large,Crimson
241415,Small,Teal
476666,Medium,Blue
401488,Large,Khaki
513909,Large,Teal
506528,Small,Goldenrod
417974,Medium,Puce
118752,Medium,Puce
934325,Large,Violet
662357,Medium,Teal
194433,Large,Pink
988615,Medium,Pink
486719,Large,Blue
816751,Medium,Aquamarine
999912,Small,Purple
140637,Medium,Crimson
980355,Medium,Puce
886187,Small,Khaki
263696,Medium,Crimson
787638,Medium,Green
349655,Medium,Goldenrod
272823,Large,Blue
216984,Small,Khaki
834393,Small,Red
502238,Small,Green
714104,Small,Aquamarine
174872,Small,Crimson
662596,Small,Mauv
990475,Medium,Pink
464564,Medium,Fuscia
487781,Small,Pink
471742,Medium,Maroon
392525,Large,Khaki
126871,Large,Maroon
403545,Small,Green
541981,Medium,Yellow
394007,Small,Yellow
509552,Small,Puce
747133,Small,Goldenrod
147933,Medium,Purple
580556,Small,Violet
756875,Small,Violet
436888,Large,Fuscia
550981,Medium,Teal
286596,Small,Maroon
443912,Medium,Fuscia
376819,Small,Violet
738957,Medium,Khaki
453734,Large,Goldenrod
179111,Large,Yellow
982721,Large,Purple
643535,Large,Yellow
754875,Small,Puce
743665,Large,Aquamarine
242417,Medium,Purple
279670,Small,Maroon
772141,Medium,Fuscia
879654,Large,Crimson
862821,Large,Teal
390087,Medium,Fuscia
805301,Large,Violet
812770,Medium,Fuscia
568558,Medium,Goldenrod
329558,Small,Crimson
375145,Medium,Orange
665587,Large,Mauv
382091,Large,Goldenrod
955531,Medium,Turquoise
475058,Small,Puce
824651,Small,Mauv
513121,Medium,Yellow
517967,Large,Indigo
458558,Large,Crimson
681418,Medium,Maroon
141844,Medium,Crimson
267868,Small,Teal
677094,Small,Mauv
578751,Large,Turquoise
883473,Medium,Teal
373852,Large,Blue
917454,Large,Orange
412323,Large,Indigo
612691,Small,Orange
596382,Medium,Crimson
936136,Large,Pink
577718,Medium,Red
318549,Small,Indigo
493625,Medium,Fuscia
976878,Medium,Fuscia
460064,Large,Purple
522112,Medium,Red
722144,Medium,Teal
766034,Medium,Pink
291013,Small,Pink
186741,Small,Teal
294647,Large,Khaki
297139,Large,Turquoise
292637,Medium,Orange
620185,Small,Teal
195069,Small,Aquamarine
179329,Large,Orange
153313,Large,Indigo
792903,Medium,Orange
307200,Medium,Teal
185656,Small,Red
243631,Large,Fuscia
260713,Medium,Orange
555377,Small,Indigo
712732,Small,Mauv
480853,Medium,Purple
294872,Medium,Fuscia
133740,Small,Maroon
210757,Small,Purple
249042,Large,Puce
775445,Large,Yellow
688871,Medium,Maroon
146472,Small,Goldenrod
384564,Large,Crimson
961293,Large,Pink
720103,Small,Orange
340157,Small,Pink
985480,Small,Pink
925453,Large,Maroon
311309,Small,Maroon
752233,Large,Puce
733174,Medium,Red
868319,Small,Teal
304341,Small,Orange
862589,Medium,Purple
264678,Small,Teal
617936,Small,Puce
483038,Small,Blue
335642,Small,Pink
811659,Medium,Goldenrod
237507,Medium,Mauv
385098,Small,Blue
490463,Large,Pink
417318,Large,Violet
582179,Small,Fuscia
845998,Small,Teal
429275,Large,Yellow
659947,Medium,Mauv
139120,Small,Puce
820372,Large,Teal
526530,Small,Yellow
817376,Small,Orange
707797,Medium,Yellow
490694,Large,Khaki
418917,Small,Goldenrod
165525,Large,Goldenrod
542458,Medium,Red
354456,Large,Green
544853,Medium,Purple
788853,Medium,Maroon
759323,Large,Violet
971166,Small,Purple
806464,Large,Puce
858181,Medium,Orange
667422,Small,Maroon
475492,Small,Red
375207,Small,Puce
475506,Medium,Orange
810496,Medium,Blue
325988,Small,Crimson
265895,Small,Mauv
946544,Small,Green
430587,Small,Green
505050,Small,Teal
669747,Medium,Blue
749636,Medium,Blue
937125,Medium,Green
603385,Large,Violet
299516,Small,Red
147528,Medium,Teal
212553,Small,Red
168906,Small,Puce
538842,Large,Teal
325350,Small,Violet
816786,Medium,Teal
940287,Small,Puce
185209,Large,Goldenrod
779197,Medium,Goldenrod
982321,Large,Turquoise
416692,Medium,Orange
522454,Small,Maroon
859852,Medium,Aquamarine
539065,Small,Blue
449820,Medium,Goldenrod
244212,Large,Yellow
331878,Medium,Indigo
642134,Medium,Purple
906148,Small,Maroon
790651,Small,Indigo
303311,Small,Crimson
291412,Medium,Orange
629900,Large,Teal
305516,Medium,Teal
332555,Medium,Puce
425437,Medium,Crimson
975259,Large,Crimson
136643,Small,Violet
638805,Medium,Khaki
547929,Large,Blue
220579,Medium,Purple
453136,Medium,Fuscia
917408,Large,Maroon
646221,Medium,Khaki
173310,Small,Khaki
898050,Small,Blue
562761,Medium,Goldenrod
557135,Large,Mauv
992839,Small,Turquoise
502176,Medium,Red
655679,Large,Indigo
298341,Small,Yellow
986016,Small,Pink
940077,Medium,Red
514891,Large,Orange
368026,Medium,Green
868112,Medium,Indigo
723950,Small,Crimson
267210,Small,Puce
551153,Small,Orange
456830,Large,Yellow
145717,Medium,Maroon
828986,Medium,Yellow
885604,Medium,Crimson
419486,Medium,Yellow
583475,Small,Red
121358,Large,Goldenrod
558861,Large,Orange
950341,Large,Teal
690754,Large,Crimson
980967,Large,Fuscia
872416,Medium,Aquamarine
