PID,Size,Weight
116742,Medium,2.81
472379,Large,1.91
452963,Large,1.91
482526,Large,3.11
765659,Large,2.63
908336,Large,4.8
537667,Medium,4.35
444664,Medium,4.58
944371,Medium,1.37
332463,Medium,4.98
338508,Medium,2.89
217371,Medium,1.68
177311,Small,2.16
409114,Large,3.47
323621,Large,1.96
560312,Medium,2.65
528449,Medium,3.74
268046,Large,3.51
671697,Large,1.14
302597,Small,3.71
944667,Medium,3.57
926530,Small,4.6
735303,Large,1.24
792630,Medium,1.62
416082,Large,2.67
592641,Large,1.12
944689,Small,2.47
740307,Small,3.91
742907,Small,4.19
855168,Large,3.59
166867,Large,4.36
339909,Medium,3.11
996925,Medium,2.2
930558,Large,4.55
547635,Large,3.23
539694,Large,2.85
482352,Small,2.84
284957,Small,1.75
986636,Large,3.94
731441,Large,2.09
814330,Medium,2.59
763984,Large,3.55
560064,Small,2.88
669544,Large,2.97
979339,Large,4.91
594114,Large,1.16
269753,Small,3.83
296422,Medium,2.63
841297,Medium,3.35
650891,Large,4.07
285888,Medium,3.64
538317,Small,4.04
881736,Medium,2.9
123950,Large,3.76
754160,Medium,2.27
271497,Medium,3.46
386740,Large,3.48
959792,Small,2.12
558404,Small,4.83
306665,Small,3.34
806315,Small,2.79
450342,Large,2.96
606685,Small,4.92
257707,Large,2.65
868544,Small,4.36
594188,Small,3.36
181698,Medium,2.05
951428,Small,3.49
572305,Medium,1.17
319955,Medium,3.56
521889,Small,4.37
686921,Small,4.93
453809,Small,4.53
821491,Large,1.15
647862,Small,4.26
556826,Medium,3.1
474522,Small,2.06
267829,Large,2.7
411625,Large,2.35
853067,Large,4.1
127433,Large,4.82
337897,Small,4.15
738376,Large,1.36
838526,Medium,1.5
441410,Small,3.53
437060,Large,3.13
574168,Medium,4.02
668747,Small,4.26
749193,Large,3.83
675821,Medium,4.49
268808,Large,4.37
282323,Small,4.32
396939,Medium,3.16
578327,Medium,2.28
304012,Medium,4.62
877255,Large,4.33
591873,Large,1.9
552915,Small,1.72
277573,Large,1.62
816911,Medium,3.66
286302,Small,2.63
627989,Medium,3.62
464472,Medium,2.37
693156,Medium,2.32
176406,Medium,4.85
884485,Medium,1.17
524371,Small,3.66
402102,Large,2.26
926993,Large,1.86
874858,Medium,4.84
459015,Large,4.02
865686,Medium,4.38
606460,Small,3.28
404207,Large,1.45
956342,Large,3.94
787413,Small,1.92
778891,Small,2.22
696814,Small,4.98
433966,Large,3.03
425936,Medium,4.86
353483,Medium,2.69
306844,Small,1.64
161092,Small,3.58
640755,Medium,4.1
291503,Small,1.07
620334,Large,3.37
706912,Large,2.57
698888,Medium,4.18
419481,Small,2.15
491125,Medium,1.44
233134,Large,3.39
287441,Small,4.49
386713,Small,1.26
381647,Small,3.08
991685,Small,4.9
414646,Large,2.22
329306,Large,2.59
562085,Small,4.58
719901,Small,1.56
317956,Medium,1.87
931488,Large,3.95
580741,Large,3.88
913837,Medium,3.3
144320,Small,2.33
232917,Small,3.58
455648,Large,2.23
139006,Large,1.5
627961,Large,4.03
593505,Large,1.97
708340,Medium,1.57
510231,Small,2.48
183092,Large,4.69
645066,Large,2.29
791591,Small,3.63
488270,Medium,2.76
630952,Medium,3.07
231742,Large,2.43
296757,Large,1.37
133754,Large,2.27
662606,Medium,3.1
191561,Medium,2.42
284010,Medium,4.63
858489,Large,3.47
728333,Medium,3.45
393348,Large,1.8
831080,Large,4.07
817823,Medium,2.06
283359,Large,3.54
802103,Small,2.53
768436,Small,1.05
892776,Small,4.44
656077,Medium,3.25
850890,Large,2.06
997535,Medium,1.84
662208,Large,3.72
506511,Large,3.21
435539,Small,3.66
621031,Large,3.79
288732,Small,2.39
924808,Medium,4.34
209590,Small,2.89
403442,Small,2.56
275703,Large,2.93
809843,Small,4.55
404346,Small,2.8
759511,Large,2.76
713688,Large,1.5
451947,Small,1.69
350018,Small,1.18
725041,Small,1.84
307863,Medium,3.28
222215,Medium,3.43
849438,Medium,2.34
965804,Medium,4.48
962736,Small,3.83
855749,Medium,1.6
964814,Medium,3.3
712507,Medium,3.38
936468,Medium,4.04
532669,Large,3.63
641021,Small,2.91
243034,Medium,1.56
240258,Small,4
940073,Large,3.97
880054,Medium,1.78
318650,Small,3.66
424720,Small,3.72
136062,Large,4.47
498975,Medium,3.34
245095,Small,2.16
310537,Small,3.96
121131,Large,3.22
335574,Medium,3.99
469884,Small,4.4
743537,Small,4.21
648397,Small,1.45
236781,Medium,1.33
771145,Medium,4.63
621261,Small,3.69
558106,Small,3.59
452665,Large,3.32
819045,Large,3.24
207607,Large,3.61
187221,Large,4.62
824556,Large,2.16
860414,Large,2.96
315245,Small,3
539498,Medium,1.89
329153,Large,2.51
560813,Medium,1.55
364507,Large,1.71
413761,Large,1.3
385934,Large,2.16
635162,Small,1.55
682816,Medium,2.84
353211,Small,3.61
344491,Small,3.36
736254,Large,1.32
648399,Medium,3.95
381329,Small,2.28
908414,Medium,2.39
886371,Small,1.34
845053,Medium,1.56
738326,Small,1.67
664129,Small,3.01
529364,Medium,4.42
505826,Large,1
667580,Small,1.35
712598,Small,3.03
851044,Small,3.51
595565,Small,2.9
552070,Small,2.75
437408,Small,4.92
183227,Large,4.94
967162,Small,4.09
294952,Small,3.99
337956,Medium,4.17
258835,Small,4.92
177168,Large,1.78
723105,Medium,3.73
345302,Large,4.07
840345,Small,1.52
879382,Large,4.03
534442,Small,1.76
315732,Small,3.81
590613,Medium,1.77
399030,Small,1.17
234526,Large,1.63
704813,Small,1.76
268177,Large,4.55
170699,Small,4.8
993772,Large,2.3
313147,Small,3.79
780854,Small,4.8
918204,Large,2.16
137055,Small,4.02
848325,Small,4.79
763827,Small,2.91
634597,Medium,1.3
214791,Medium,3.12
