YEAR,MONTH,DAY,HOUR,MINUTE,MAGNITUDE
1994,1,17,12,30,6.7
1994,1,17,12,31,5.5
1994,1,17,12,32,3.3
1994,1,17,12,34,4.2
1994,1,17,12,36,3.8
1994,1,17,12,37,3.7
1994,1,17,12,39,4.4
1994,1,17,12,40,3.5
1994,1,17,12,40,4.3
1994,1,17,12,41,4
1994,1,17,12,42,3.4
1994,1,17,12,43,3.6
1994,1,17,12,46,3.5
1994,1,17,12,46,3.3
1994,1,17,12,49,3.8
1994,1,17,12,51,3.8
1994,1,17,12,55,4.1
1994,1,17,12,57,3.7
1994,1,17,12,59,3.7
1994,1,17,13,1,3.8
1994,1,17,13,1,3.1
1994,1,17,13,6,4.6
1994,1,17,13,8,3.6
1994,1,17,13,17,3.6
1994,1,17,13,22,3.9
1994,1,17,13,23,3.1
1994,1,17,13,25,3.4
1994,1,17,13,25,3.5
1994,1,17,13,26,4.7
1994,1,17,13,28,3.5
1994,1,17,13,29,3.8
1994,1,17,13,32,3.7
1994,1,17,13,32,3.1
1994,1,17,13,37,0
1994,1,17,13,37,3.9
1994,1,17,13,44,3.8
1994,1,17,13,45,3.9
1994,1,17,13,46,3.4
1994,1,17,13,56,4.4
1994,1,17,13,58,3
1994,1,17,14,0,3.2
1994,1,17,14,3,3.7
1994,1,17,14,6,3.7
1994,1,17,14,8,3.8
1994,1,17,14,14,4.4
1994,1,17,14,16,2.9
1994,1,17,14,17,2.6
1994,1,17,14,19,2.6
1994,1,17,14,19,2.6
1994,1,17,14,20,2.8
1994,1,17,14,21,2.7
1994,1,17,14,22,2.3
1994,1,17,14,22,2.6
1994,1,17,14,22,3
1994,1,17,14,23,0
1994,1,17,14,24,2.6
1994,1,17,14,26,3.8
1994,1,17,14,28,3.9
1994,1,17,14,29,1.9
1994,1,17,14,31,3.2
1994,1,17,14,33,3.3
1994,1,17,14,37,3
1994,1,17,14,45,3.2
1994,1,17,14,47,2.4
1994,1,17,14,48,2.6
1994,1,17,14,48,3.1
1994,1,17,14,50,3.8
1994,1,17,15,0,3.1
1994,1,17,15,3,3.1
1994,1,17,15,3,3.2
1994,1,17,15,7,4.2
1994,1,17,15,7,4.2
1994,1,17,15,9,2.3
1994,1,17,15,10,3.9
1994,1,17,15,12,2.9
1994,1,17,15,14,3.9
1994,1,17,15,15,3.2
1994,1,17,15,16,3.2
1994,1,17,15,20,3.4
1994,1,17,15,24,3.5
1994,1,17,15,29,3
1994,1,17,15,42,3.9
1994,1,17,15,43,3.1
1994,1,17,15,44,2.3
1994,1,17,15,45,3.9
1994,1,17,15,45,3.8
1994,1,17,15,49,3.2
1994,1,17,15,50,3.4
1994,1,17,15,50,0
1994,1,17,15,54,4.8
1994,1,17,16,16,3.8
1994,1,17,16,19,3.6
1994,1,17,16,21,3
1994,1,17,16,22,3.4
1994,1,17,16,26,3.3
1994,1,17,16,31,3.2
1994,1,17,16,32,2.4
1994,1,17,16,40,3.1
1994,1,17,16,42,2.9
1994,1,17,16,42,2.9
1994,1,17,16,44,3.1
1994,1,17,16,45,3.1
1994,1,17,16,49,3.3
1994,1,17,17,4,3
1994,1,17,17,9,3.2
1994,1,17,17,18,3
1994,1,17,17,21,3.5
1994,1,17,17,24,2.9
1994,1,17,17,25,2.8
1994,1,17,17,27,2.9
1994,1,17,17,29,3
1994,1,17,17,35,2.9
1994,1,17,17,38,2.8
1994,1,17,17,42,2.8
1994,1,17,17,43,3.1
1994,1,17,17,47,2.7
1994,1,17,17,50,2.7
1994,1,17,17,56,4.6
1994,1,17,17,58,2
1994,1,17,17,58,3.2
1994,1,17,18,14,3
1994,1,17,18,20,3.5
1994,1,17,18,22,3.2
1994,1,17,18,32,3.8
1994,1,17,18,39,3.1
1994,1,17,19,7,3.3
1994,1,17,19,12,2.7
1994,1,17,19,14,2.7
1994,1,17,19,23,3.6
1994,1,17,19,25,2.9
1994,1,17,19,28,2.7
1994,1,17,19,35,4
1994,1,17,19,43,4.1
1994,1,17,19,50,3.1
1994,1,17,19,54,3
1994,1,17,19,56,3.4
1994,1,17,19,58,3.6
1994,1,17,20,2,3.9
1994,1,17,20,5,3.8
1994,1,17,20,8,3.3
1994,1,17,20,11,3.8
1994,1,17,20,17,3.7
