Mloc,Mvg,Mevg,Mivg,Hn,Hvol,Hpgmlen,Hdiff,Hintell,Heffort,Hb,Htime,Hloc,Hcomm,Hblank,loc+comm,uniOp,uniOpnd,totOp,totOpnd,brnchcnt,defect,predict:vg>10,predict:evg>14.5,predict:ivg>9.2,predict:loc>50
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1,1.3,1,2,2,2,2,1.2,1.2,1.2,1.2,1.4,FALSE,no,no,no,no
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,no,no,no,no
24,5,1,3,63,309.1,0.11,9.5,32.54,2937,0.1,163,1,0,6,0,15,15,44,19,9,FALSE,no,no,no,no
20,4,4,2,47,215.5,0.06,16,13.47,3448,0.07,192,0,0,3,0,16,8,31,16,7,FALSE,no,no,no,no
24,6,6,2,72,346.1,0.06,17.33,19.97,6000,0.12,333,0,0,3,0,16,12,46,26,11,FALSE,no,no,no,no
24,6,6,2,72,346.1,0.06,17.33,19.97,6000,0.12,333,0,0,3,0,16,12,46,26,11,FALSE,no,no,no,no
7,1,1,1,11,34.9,0.5,2,17.43,70,0.01,4,0,0,1,0,4,5,6,5,1,FALSE,no,no,no,no
12,2,1,2,23,94,0.16,6.43,14.62,604,0.03,34,0,0,7,0,10,7,14,9,3,FALSE,no,no,no,no
25,5,5,5,107,548.8,0.07,14.25,38.51,7821,0.18,434,12,16,13,0,15,20,69,38,9,FALSE,no,no,no,no
46,15,3,1,239,1362.4,0.04,22.3,61.1,30378,0.45,1688,8,35,22,0,15,37,129,110,29,FALSE,yes,no,no,no
34,5,5,1,155,856.2,0.05,20.76,41.24,17773,0.29,987,11,28,16,0,19,27,96,59,9,FALSE,no,no,no,no
10,2,1,1,35,143.1,0.11,9,15.9,1288,0.05,72,2,4,4,0,9,8,19,16,3,FALSE,no,no,no,no
23,7,5,1,157,770.4,0.04,28.12,27.4,21660,0.26,1203,10,17,23,0,17,13,114,43,13,FALSE,no,no,no,no
23,7,5,1,105,475,0.04,27.22,17.45,12930,0.16,718,10,17,23,0,14,9,70,35,13,FALSE,no,no,no,no
31,5,1,2,231,1303.7,0.04,27.5,47.41,35853,0.43,1992,2,15,40,0,22,28,161,70,9,FALSE,no,no,no,no
24,5,1,2,120,655.1,0.07,15.2,43.1,9958,0.22,553,3,20,23,0,19,25,80,40,9,FALSE,no,no,no,no
13,2,1,1,57,271,0.11,9.15,29.61,2481,0.09,138,6,5,8,0,14,13,40,17,3,FALSE,no,no,no,no
6,1,1,1,15,55.5,0.25,4,13.88,222,0.02,12,1,1,2,0,8,5,10,5,1,FALSE,no,no,no,no
33,2,1,2,135,745.7,0.09,11.65,64.01,8685,0.25,483,2,0,19,0,12,34,69,66,3,FALSE,no,no,no,no
6,1,1,1,15,55.5,0.25,4,13.88,222,0.02,12,1,1,0,0,8,5,10,5,1,FALSE,no,no,no,no
7,2,1,1,27,105.5,0.08,12,8.79,1266,0.04,70,0,0,1,0,10,5,15,12,3,FALSE,no,no,no,no
3,1,1,1,14,48.4,0.23,4.38,11.07,212,0.02,12,0,0,0,0,7,4,9,5,1,FALSE,no,no,no,no
7,1,1,1,29,110.4,0.21,4.88,22.65,538,0.04,30,0,0,0,0,6,8,16,13,1,FALSE,no,no,no,no
9,3,1,1,41,171,0.07,14.14,12.09,2418,0.06,134,0,0,1,0,11,7,23,18,5,FALSE,no,no,no,no
11,3,1,1,49,215.2,0.07,14.67,14.67,3157,0.07,175,0,0,1,0,12,9,27,22,5,FALSE,no,no,no,no
4,1,1,1,13,39,0.33,3,13,117,0.01,7,0,0,0,0,4,4,7,6,1,FALSE,no,no,no,no
3,1,1,1,7,19.7,0.4,2.5,7.86,49,0.01,3,0,0,0,0,5,2,5,2,1,FALSE,no,no,no,no
16,4,1,1,77,370.2,0.05,19.62,18.87,7261,0.12,403,11,30,7,0,15,13,43,34,7,FALSE,no,no,no,no
65,12,1,1,541,3327,0.02,42.02,79.18,139799,1.11,7767,5,95,33,0,19,52,311,230,23,FALSE,yes,no,no,yes
177,41,6,23,767,5580.8,0.02,54.82,101.81,305929,1.86,16996,63,31,134,0,45,110,499,268,60,FALSE,yes,no,yes,yes
14,5,1,3,41,185.5,0.07,15,12.36,2782,0.06,155,4,5,9,0,15,8,25,16,8,FALSE,no,no,no,no
361,70,27,46,1844,15345.6,0.01,97.73,157.03,1499684,5.12,83316,37,191,164,0,69,251,1133,711,110,FALSE,yes,yes,yes,yes
76,13,7,10,298,1948.7,0.03,32.21,60.5,62768,0.65,3487,3,48,27,0,36,57,196,102,24,FALSE,yes,no,yes,yes
31,1,1,1,461,2653,0.04,22.83,116.21,60566,0.88,3365,0,10,4,0,13,41,317,144,1,FALSE,no,no,no,no
20,3,1,3,71,351.8,0.1,10.29,34.17,3621,0.12,201,0,0,5,0,14,17,46,25,5,FALSE,no,no,no,no
27,5,3,3,108,540,0.05,21.86,24.71,11803,0.18,656,4,5,7,0,18,14,74,34,9,FALSE,no,no,no,no
15,3,1,3,52,260,0.14,7.18,36.19,1868,0.09,104,2,24,16,0,13,19,31,21,5,FALSE,no,no,no,no
13,4,1,4,59,295,0.09,11.03,26.75,3254,0.1,181,3,8,15,0,15,17,34,25,7,FALSE,no,no,no,no
32,6,1,6,123,687,0.08,12.89,53.31,8853,0.23,492,5,44,42,0,17,31,76,47,11,FALSE,no,no,no,no
25,3,1,3,120,684.1,0.07,14.11,48.49,9649,0.23,536,2,16,19,0,19,33,71,49,5,FALSE,no,no,no,no
22,4,4,4,75,381.6,0.07,13.42,28.43,5121,0.13,285,5,10,19,0,15,19,41,34,7,FALSE,no,no,no,no
28,6,1,4,128,707,0.04,23.1,30.61,16332,0.24,907,5,19,15,0,21,25,73,55,11,FALSE,no,no,no,no
18,2,1,2,122,625.8,0.04,24.42,25.62,15282,0.21,849,3,18,13,0,16,19,64,58,3,FALSE,no,no,no,no
24,5,1,3,197,1075.5,0.03,39.72,27.08,42716,0.36,2373,2,20,14,0,21,23,110,87,9,FALSE,no,no,no,no
62,9,4,6,310,2002.4,0.05,21.19,94.51,42426,0.67,2357,5,32,26,0,24,64,197,113,17,FALSE,no,no,no,yes
