"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EncPorchSF","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SalePrice"
"1",1,"20","RL",NA,11000,NA,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",5,6,1966,1966,"Gable","Plywood","Plywood","BrkFace",200,"Avg","Avg","CBlock","Avg","Avg","Mn","BLQ",740,"Rec",230,184,1154,"GasA","AboveAvg","Y","SBrkr",1154,0,0,1154,0,0,1,1,3,1,"Avg",6,"Typ",1,"BelowAvg","Attchd",1966,"RFn",2,480,"Avg","Avg","Y",0,58,0,0,NA,"MnPrv",NA,0,11,2009,"WD",154000
"2",2,"20","RL",NA,36500,NA,"IR1","Low","Inside","Mod","ClearCr","Norm","1Fam","1Story",5,5,1964,1964,"Gable","Wd Sdng","Wd Sdng","BrkCmn",621,"Avg","AboveAvg","CBlock","Avg","Avg","Av","Rec",812,"Unf",0,812,1624,"GasA","BelowAvg","Y","SBrkr",1582,0,0,1582,0,1,2,0,4,1,"Avg",7,"Typ",0,NA,"Attchd",1964,"Unf",2,390,"Avg","Avg","N",168,198,0,0,NA,NA,NA,0,6,2006,"WD",190000
"3",3,"20","RL",57,9764,NA,"IR1","Lvl","other","Gtl","Sawyer","Feedr","1Fam","1Story",5,7,1967,2003,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",702,"Unf",0,192,894,"GasA","AboveAvg","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"AboveAvg",5,"Typ",0,NA,"Attchd",1967,"RFn",2,450,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,5,2008,"WD",130000
"4",4,"70","RL",NA,7500,NA,"IR1","Bnk","Inside","Gtl","Crawfor","Norm","1Fam","2Story",6,7,1942,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",547,"Unf",0,224,771,"GasA","BelowAvg","Y","SBrkr",753,741,0,1494,0,0,1,0,3,1,"AboveAvg",7,"Typ",2,"AboveAvg","Attchd",1942,"Unf",1,213,"Avg","Avg","P",0,0,224,0,NA,NA,NA,0,11,2009,"WD",177500
"5",5,"20","RL",80,9200,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1965,1965,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","Avg","Avg","No","Rec",892,"Unf",0,244,1136,"GasA","Avg","Y","SBrkr",1136,0,0,1136,1,0,1,0,3,1,"Avg",5,"Typ",1,"AboveAvg","Attchd",1965,"RFn",1,384,"Avg","Avg","Y",426,0,0,0,NA,NA,NA,0,7,2008,"WD",140000
"6",6,"60","RL",72,11317,NA,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",101,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,840,840,"GasA","AboveAvg","Y","SBrkr",840,828,0,1668,0,0,2,1,3,1,"AboveAvg",8,"Typ",0,NA,"Attchd",2003,"RFn",2,500,"Avg","Avg","Y",144,68,0,0,NA,NA,NA,0,9,2007,"WD",180000
"7",7,"20","RL",80,8480,NA,"Reg","Lvl","Corner","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1963,1963,"Hip","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","Avg","Avg","No","GLQ",630,"Unf",0,340,970,"GasA","Avg","Y","SBrkr",970,0,0,970,1,0,1,0,2,1,"Avg",5,"Typ",0,NA,"Detchd",1996,"Unf",2,624,"Avg","Avg","Y",0,24,192,0,NA,NA,NA,0,7,2007,"WD",132500
"8",8,"70","RM",65,11700,"Pave","IR1","Lvl","Corner","Gtl","OldTown","Norm","1Fam","2Story",7,7,1880,2003,"other","other","other","None",0,"AboveAvg","Avg","other","Avg","BelowAvg","No","Unf",0,"Unf",0,1240,1240,"other","Avg","N","SBrkr",1320,1320,0,2640,0,0,1,1,4,1,"AboveAvg",8,"Typ",1,"AboveAvg","Detchd",1950,"Unf",4,864,"Avg","Avg","N",181,0,386,0,NA,NA,NA,0,5,2009,"WD",265979
"9",9,"60","RL",80,9760,NA,"Reg","Lvl","Inside","Mod","NAmes","Norm","1Fam","2Story",6,6,1964,1964,"Gable","HdBoard","HdBoard","BrkFace",360,"Avg","Avg","CBlock","Avg","Avg","Gd","GLQ",674,"LwQ",106,0,780,"GasA","Avg","Y","SBrkr",798,813,0,1611,1,0,1,1,4,1,"Avg",7,"Typ",0,NA,"Attchd",1964,"RFn",2,442,"Avg","Avg","Y",328,128,189,0,NA,NA,NA,0,6,2008,"WD",167900
"10",10,"60","RL",93,10261,NA,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",318,"Avg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,936,936,"GasA","AboveAvg","Y","SBrkr",962,830,0,1792,1,0,2,1,3,1,"Avg",8,"Typ",1,"Avg","Attchd",2000,"Fin",2,451,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,5,2008,"WD",186500
